case_id,project_id,customer_name,equipment_type,reported_date,issue_category,symptom_description,severity,assigned_engineer,diagnosis_status,root_cause,resolution,spare_parts_used,time_to_resolve_hrs,csat_rating,sla_status
SC-001,PRJ-006,Reliance Jamnagar,AFBC Boiler,2025-01-08,Performance Drop,Boiler efficiency dropped from 86% to 79% over 2 weeks,High,Ravi Sharma,Resolved,Air preheater tube fouling due to high sulphur coal ash,Chemical cleaning of APH tubes + coal quality adjustment,APH cleaning chemicals,36,4.2,Within SLA
SC-002,PRJ-011,Tata Chemicals Mithapur,Thermic Fluid Heater,2025-01-12,Startup Failure,Unit fails to reach set temperature — flame instability observed,Critical,Deepak Patil,Resolved,Blocked fuel nozzle + incorrect combustion air damper setting,Nozzle cleaning + damper recalibration per SOP-TF-03,Fuel nozzle assembly x2,18,4.5,Within SLA
SC-003,PRJ-003,JSW Vijayanagar,WHRB,2025-01-15,Tube Leak,Water wall tube leak detected — emergency shutdown,Critical,Ankit Verma,Resolved,Erosion at soot blower impingement zone — wall thinning below 3mm,Tube replacement + soot blower realignment + NDT inspection,Water wall tubes x4 + welding rods,72,3.8,At Risk
SC-004,PRJ-008,UltraTech Aditya Nagar,FGD System,2025-01-20,Emission Non-Compliance,SO2 levels exceeding 200 mg/Nm3 against limit of 100,High,Priya Menon,Resolved,Slurry recirculation pump cavitation — low pH in scrubber,Pump impeller replacement + limestone dosing adjustment,Pump impeller + pH sensor,24,4.0,Within SLA
SC-005,PRJ-014,Birla Carbon Renukoot,Absorption Chiller,2025-01-25,Cooling Failure,Chilled water outlet temp 12°C vs design 7°C — capacity loss,Medium,Suresh Kumar,Resolved,Crystallization in absorber due to excess vacuum loss,Decrystallization procedure + vacuum pump seal replacement,Vacuum pump seals x2,48,3.5,Within SLA
SC-006,PRJ-019,NTPC Dadri,AFBC Boiler,2025-02-01,Vibration Alarm,ID fan vibration exceeding 8 mm/s — tripping on high alarm,High,Ravi Sharma,Resolved,Bearing wear + impeller buildup,Bearing replacement + dynamic balancing + impeller cleaning,Fan bearings x2 + balancing weights,30,4.3,Within SLA
SC-007,PRJ-022,Aditya Birla Grasim,Evaporator,2025-02-05,Scaling Issue,Heat transfer coefficient dropped 40% — heavy scaling observed,Medium,Ankit Verma,In Progress,Suspected calcium sulphate scaling from feed water quality,Acid cleaning scheduled + feed water pretreatment review,Cleaning chemicals + dosing pump,Ongoing,Pending,Within SLA
SC-008,PRJ-005,Hindalco Renukoot,AFBC Boiler,2025-02-10,Refractory Damage,Hot spots observed on furnace casing — refractory spalling,High,Deepak Patil,Resolved,Thermal cycling stress + inadequate curing during last repair,Gunning repair of damaged zones + controlled heat-up schedule,Refractory gunning mix 2T,96,3.2,Breached
SC-009,PRJ-030,Vedanta Lanjigarh,WHRB,2025-02-14,Control System,DCS communication loss — intermittent control loop failures,Medium,Priya Menon,Resolved,Corroded terminal strips in marshalling cabinet due to humidity,Terminal strip replacement + cabinet dehumidifier installed,Terminal strips + dehumidifier,12,4.6,Within SLA
SC-010,PRJ-012,ACC Wadi,AFBC Boiler,2025-02-18,Fuel Handling,Coal feeder jamming frequently — bed temperature fluctuations,Medium,Suresh Kumar,In Progress,Wet coal causing bridging in bunker + worn feeder screws,Bunker vibrator installation + feeder screw replacement pending,Feeder screws x4,Ongoing,Pending,Within SLA
SC-011,PRJ-017,Sun Pharma Dewas,Thermic Fluid Heater,2025-02-22,Fluid Degradation,Thermic fluid turning dark — suspected carbon residue formation,Low,Ravi Sharma,Resolved,Operating temperature exceeded fluid limit by 15°C intermittently,Partial fluid replacement + high-temp alarm setpoint correction,Thermic fluid 2000L,8,4.1,Within SLA
SC-012,PRJ-025,IOC Haldia,FGD System,2025-02-28,Mist Eliminator,Carryover of slurry droplets into clean gas duct,Medium,Ankit Verma,In Progress,Mist eliminator wash nozzles clogged + blade deformation,Nozzle replacement + blade section renewal scheduled,ME wash nozzles x12,Ongoing,Pending,At Risk
SC-013,PRJ-009,Grasim Industries Nagda,Absorption Chiller,2025-03-03,Pump Failure,Solution pump mechanical seal failure — fluid leak,High,Deepak Patil,Resolved,Seal face wear due to crystallized solution particles,Seal replacement + strainer installation on pump suction,Mechanical seal assembly,16,4.4,Within SLA
SC-014,PRJ-020,SAIL Rourkela,AFBC Boiler,2025-03-08,Ash Handling,Bottom ash cooler screw conveyor seized — ash removal stopped,High,Suresh Kumar,Resolved,Clinker formation due to high ash fusion temperature coal batch,Conveyor bearing + screw flight replacement + coal blend adjustment,Screw flights x6 + bearings x4,54,3.6,At Risk
SC-015,PRJ-028,Paradeep Phosphates,WHRB,2025-03-12,Economizer Leak,Economizer finned tube leak — feedwater loss observed,Critical,Priya Menon,Resolved,Dew point corrosion — flue gas temp below acid dew point,Tube plugging + economizer bypass + minimum load procedure update,Tube plugs x8,42,4.0,Within SLA
